id,description,hint,difficulty,volume,chapter,section
Geometric Interpretation of Definite Integrals,"The definite integral represents signed area: positive where f(x)>0, negative where f(x)<0.","Draw the curve and shade regions above and below the x-axis separately, tracking signs.",1,1,Integration,5.2 The Definite Integral
Comparison Properties of Integrals,"If f(x)≤g(x) on [a,b], then ∫ₐᵇ f dx ≤ ∫ₐᵇ g dx; useful for estimation.",Find simpler functions that bound your integrand above and below to estimate the integral.,2,1,Integration,5.2 The Definite Integral
Average Value of a Function,"The average value of f on [a,b] is (1/(b-a))∫ₐᵇ f(x)dx, representing the constant height with same area.",Divide the definite integral by the width of the interval to find average height.,1,1,Integration,5.2 The Definite Integral
Integral Notation and Dummy Variables,"In ∫ₐᵇ f(x)dx, x is a dummy variable; ∫ₐᵇ f(x)dx = ∫ₐᵇ f(t)dt produces the same number.",The variable of integration can be renamed freely—only the function and endpoints matter.,1,1,Integration,5.2 The Definite Integral
Definite Integral of Constant Function,"For constant c, ∫ₐᵇ c dx = c(b-a), the area of a rectangle.",The integral of a constant is just that constant times the width of the interval.,1,1,Integration,5.2 The Definite Integral
Fundamental Theorem of Calculus Part 1,"If f is continuous on [a,b], then the function g(x) = ∫[a to x] f(t)dt is differentiable and g'(x) = f(x).",Remember that taking the derivative of an accumulation function returns the original integrand—differentiation undoes integration.,3,1,Integration,5.3 The Fundamental Theorem of Calculus
Accumulation Function,"A function defined as the integral from a constant to a variable upper limit, A(x) = ∫[a to x] f(t)dt.",Think of this as accumulating area under the curve f as x increases from the starting point a.,2,1,Integration,5.3 The Fundamental Theorem of Calculus
Fundamental Theorem of Calculus Part 2,"If F is an antiderivative of f on [a,b], then ∫[a to b] f(x)dx = F(b) - F(a).","To evaluate a definite integral, find any antiderivative F, then compute the difference F(b) - F(a).",3,1,Integration,5.3 The Fundamental Theorem of Calculus
Net Change Theorem,The definite integral of a rate of change equals the net change in the quantity over the interval.,"If F'(x) represents velocity, then ∫[a to b] F'(x)dx gives the displacement from time a to time b.",2,1,Integration,5.3 The Fundamental Theorem of Calculus
Evaluation Notation F(x)|[a to b],The notation F(x)|[a to b] or [F(x)]^b_a represents F(b) - F(a) for evaluating definite integrals.,"Always substitute the upper limit first, then subtract the value at the lower limit.",1,1,Integration,5.3 The Fundamental Theorem of Calculus
Chain Rule with Accumulation Functions,"When differentiating ∫[a to g(x)] f(t)dt with variable upper limit g(x), apply the chain rule: d/dx = f(g(x))·g'(x).","First apply FTC Part 1 to get f(g(x)), then multiply by the derivative of the upper limit g'(x).",4,1,Integration,5.3 The Fundamental Theorem of Calculus
Variable Lower Limit in Accumulation,"For ∫[h(x) to b] f(t)dt with variable lower limit, rewrite as -∫[b to h(x)] f(t)dt before differentiating.",Use the property that ∫[a to b] = -∫[b to a] to convert variable lower limits to upper limits.,3,1,Integration,5.3 The Fundamental Theorem of Calculus
Total Area versus Net Area,"Net area accounts for regions below the x-axis as negative, while total area uses absolute value |f(x)| to count all regions positively.","If the function crosses the x-axis, split the integral at zeros and take absolute values of each piece for total area.",2,1,Integration,5.3 The Fundamental Theorem of Calculus
Basic Integration Formulas,"Collection of standard antiderivative formulas including power, exponential, and trigonometric functions applied to definite integrals.","Apply the Fundamental Theorem Part 2: integrate using antiderivative formulas, then substitute limits.",1,1,Integration,5.4 Integration Formulas and the Net Change Theorem
Integration of Even Functions,"For even functions f(-x)=f(x), the integral from -a to a equals twice the integral from 0 to a.","Check if f(-x) equals f(x), then use symmetry to compute only from 0 to a and double the result.",2,1,Integration,5.4 Integration Formulas and the Net Change Theorem
Integration of Odd Functions,"For odd functions f(-x)=-f(x), the integral from -a to a equals zero due to symmetric cancellation.",Verify f(-x)=-f(x) over a symmetric interval; the positive and negative areas cancel exactly.,2,1,Integration,5.4 Integration Formulas and the Net Change Theorem
Net Change from Rate,The definite integral of a rate function F'(t) from a to b gives the net change F(b)-F(a) in quantity F.,"Identify what quantity is changing, then integrate its rate of change over the time interval.",1,1,Integration,5.4 Integration Formulas and the Net Change Theorem
Displacement from Velocity,The integral of velocity v(t) over time gives net displacement (final position minus initial position).,"Integrate velocity to find displacement; this is net change, not total distance traveled.",1,1,Integration,5.4 Integration Formulas and the Net Change Theorem
Total Distance from Velocity,"The integral of |v(t)| gives total distance traveled, accounting for direction changes.","Split the integral at points where velocity changes sign, then integrate absolute values separately.",2,1,Integration,5.4 Integration Formulas and the Net Change Theorem
Net Change in Physical Quantities,"Applications of net change theorem to problems involving mass, population, volume, or other accumulating quantities.",Set up the integral of the rate function with correct units; result has units of the accumulated quantity.,2,1,Integration,5.4 Integration Formulas and the Net Change Theorem
Symmetry Properties in Integration,Using function symmetry (even/odd) to simplify integrals over symmetric intervals centered at origin.,"Before computing, check for symmetry about the y-axis (even) or origin (odd) to reduce calculation work.",2,1,Integration,5.4 Integration Formulas and the Net Change Theorem
u-Substitution Method,"A technique to simplify integrals by substituting u for a function inside a composite function, transforming the integral into a simpler form.","Choose u as the inner function of a composition, then express dx in terms of du using the derivative.",1,1,Integration,5.5 Substitution
Choosing u in Substitution,"The selection of an appropriate substitution variable u to simplify an integral, typically the inner function of a composite or a function whose derivative appears.",Look for a function whose derivative (or a constant multiple) appears elsewhere in the integrand.,1,1,Integration,5.5 Substitution
du/dx Relationship,"The differential relationship du = (du/dx)dx used to transform dx into du in substitution, derived from the derivative of u with respect to x.","After choosing u, differentiate it to find du/dx, then solve for dx in terms of du.",1,1,Integration,5.5 Substitution
Substitution in Definite Integrals,Applying u-substitution to definite integrals by either changing the limits of integration to u-values or substituting back before evaluating.,"When substituting in definite integrals, transform both limits using u = g(x), or revert to x before applying bounds.",1,1,Integration,5.5 Substitution
Changing Limits of Integration,The process of converting integration bounds from x-values to u-values when performing substitution on definite integrals.,Substitute the original x-limits into your u-function to get the new u-limits.,1,1,Integration,5.5 Substitution
Recognizing Composite Function Integrands,"Identifying when an integrand contains a composite function f(g(x)) where the derivative g'(x) also appears, making it suitable for substitution.",Look for patterns like f(g(x))·g'(x) where the derivative of the inner function is present as a factor.,1,1,Integration,5.5 Substitution
Back-Substitution After Integration,The step of replacing u with the original expression in terms of x after integrating with respect to u in indefinite integrals.,"After integrating in terms of u, substitute back using your original u = g(x) equation before adding the constant.",1,1,Integration,5.5 Substitution
Substitution with Adjusting Constants,The technique of multiplying and dividing by constants to match the exact form needed after substitution when du differs from the differential in the integrand by a constant factor.,"If du = k·f(x)dx but you have f(x)dx, factor out 1/k outside the integral and use k·f(x)dx = du inside.",1,1,Integration,5.5 Substitution
Integral of e^x,"The antiderivative of e^x is e^x plus a constant, making exponential base e particularly convenient for integration.","Remember that e^x is its own derivative, so it's also its own antiderivative.",1,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Integral of a^x,"The antiderivative of a^x (where a > 0, a ≠ 1) is a^x/ln(a) plus a constant.","Convert a^x to e^(x·ln(a)) first, then use substitution with u = x·ln(a) to derive the formula.",2,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Integral of 1/x,"The antiderivative of 1/x is ln|x| plus a constant, where absolute value ensures the domain includes negative x.","Always include absolute value bars: ln|x|, not just ln(x), to handle negative domains.",1,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Substitution with Exponential Functions,"Using u-substitution when the integrand contains exponential expressions, often where u equals the exponent.","Let u be the exponent in e^(something), then find du and replace all x-terms.",2,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Substitution with Logarithmic Functions,"Using u-substitution when the integrand contains logarithmic expressions, often letting u = ln(x) or the argument of ln.","If you see ln(x) in the integrand, try u = ln(x) so du = 1/x dx, which often appears nearby.",2,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Integrals Yielding Logarithmic Functions,Recognizing integrands of the form f'(x)/f(x) which integrate to ln|f(x)| plus a constant.,"When you see a fraction with the derivative of the denominator in the numerator, the answer involves ln of the denominator.",3,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Exponential Growth and Decay Integrals,Evaluating definite integrals of exponential functions that model growth or decay processes over a time interval.,"For ke^(rt), factor out constants first, then integrate e^(rt) using the formula for exponential integrals.",2,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Combining Exponential and Algebraic Terms,"Integrating expressions that multiply exponential functions with polynomial or algebraic terms, requiring substitution or pattern recognition.","Look for whether the algebraic part is the derivative of the exponent, which signals u-substitution.",3,1,Integration,5.6 Integrals Involving Exponential and Logarithmic Functions
Integral of 1/√(a²-x²),"The integral ∫1/√(a²-x²)dx equals arcsin(x/a) + C, deriving from the derivative of inverse sine.",Recognize the pattern a²-x² under the square root and check if the numerator is constant 1.,1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Integral of 1/(a²+x²),"The integral ∫1/(a²+x²)dx equals (1/a)arctan(x/a) + C, deriving from the derivative of inverse tangent.",Look for a sum of squares in the denominator and factor out a² to match the standard form.,1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Integral of 1/(x√(x²-a²)),"The integral ∫1/(x√(x²-a²))dx equals (1/a)arcsec(|x|/a) + C, deriving from the derivative of inverse secant.","Notice the x²-a² pattern under the square root with x in the denominator, indicating arcsecant form.",1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Completing the Square for Integration,Rewriting quadratic expressions ax²+bx+c in the form a(x-h)²+k to match inverse trigonometric integral patterns.,Complete the square to transform the quadratic into a form matching a²±x² patterns.,1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Algebraic Manipulation for Inverse Trig Forms,Factoring constants and rearranging expressions to match standard inverse trigonometric integral forms.,Factor out constants from denominators to isolate a²±x² patterns before integrating.,1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Inverse Trigonometric Integration with u-Substitution,Combining substitution with inverse trigonometric formulas when the integrand involves composite functions.,"After substitution, check if the result matches one of the three basic inverse trig integral forms.",1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Domain Restrictions in Inverse Trig Integrals,Understanding when integrals yielding inverse trig functions are valid based on domain constraints like |x|<a or |x|>a.,"Check that x values satisfy the domain requirements (e.g., a²-x²>0) before applying the formula.",1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Choosing Between Inverse Trig Forms,"Identifying which inverse trigonometric function (arcsin, arctan, or arcsec) applies based on the integrand structure.","Look at whether you have a difference under a square root (arcsin), a sum of squares (arctan), or a product with square root (arcsec).",1,1,Integration,5.7 Integrals Resulting in Inverse Trigonometric Functions
Area Between Two Curves,"The region bounded by two functions f(x) and g(x) over an interval [a,b] is found by integrating the difference of the functions.","Identify which function is on top and which is on bottom, then integrate (top - bottom)dx from a to b.",1,1,Applications of Integration,6.1 Areas Between Curves
Top Function Minus Bottom Function,"For vertical strips, the integrand is the upper curve minus the lower curve: ∫[f(x) - g(x)]dx where f(x) ≥ g(x).",Sketch both curves to visually determine which function has larger y-values in your interval.,1,1,Applications of Integration,6.1 Areas Between Curves
Finding Intersection Points,"Setting f(x) = g(x) and solving determines where curves meet, providing integration limits or partition points.",Set the two functions equal and solve algebraically or graphically to find x-values where curves cross.,1,1,Applications of Integration,6.1 Areas Between Curves
Splitting Integration at Crossover Points,"When curves cross within [a,b], split the integral into subintervals where one function stays consistently above the other.",Break your integral at each intersection point and reverse which function is on top in each piece.,2,1,Applications of Integration,6.1 Areas Between Curves
Horizontal Strip Integration,"For regions better described by x as a function of y, integrate with respect to y using ∫[g(y) - h(y)]dy where g(y) is rightmost.","If solving for x is easier than solving for y, consider switching to dy and integrating along horizontal strips.",2,1,Applications of Integration,6.1 Areas Between Curves
Area Between Curve and x-axis,"A special case where g(x) = 0, giving area = ∫|f(x)|dx to ensure positive area values.","This reduces to finding the definite integral, but remember to account for regions where f(x) is negative.",1,1,Applications of Integration,6.1 Areas Between Curves
Deciding Between dx and dy Integration,Choose integration variable based on which orientation gives simpler function expressions and fewer subintervals.,"If vertical lines through the region hit the boundary twice (top and bottom), use dx; if horizontal lines work better, use dy.",2,1,Applications of Integration,6.1 Areas Between Curves
Setting Up Limits from Region Description,Translate geometric descriptions of bounded regions into concrete integration limits a and b (or c and d for dy).,"Draw the region, mark all boundary curves, and identify the leftmost/rightmost (or bottom/top) extent of the region.",1,1,Applications of Integration,6.1 Areas Between Curves
Volume by Cross-Sectional Slicing,Finding volume by integrating cross-sectional areas perpendicular to an axis: V = ∫[a to b] A(x)dx.,"Identify the axis of slicing, find the area formula A(x) at each slice, then integrate over the interval.",1,1,Applications of Integration,6.2 Determining Volumes by Slicing
Cross-Section Area Function A(x),"The area of a slice perpendicular to the axis at position x, which varies with x.",Express the cross-section dimensions in terms of x using the boundary curves or shapes.,1,1,Applications of Integration,6.2 Determining Volumes by Slicing
Disk Method for Revolution,Finding volume when a region revolves around an axis using circular cross-sections: V = π∫[a to b] [R(x)]²dx.,The radius R(x) is the distance from the axis of rotation to the curve; square it and multiply by π.,1,1,Applications of Integration,6.2 Determining Volumes by Slicing
Washer Method for Revolution,Finding volume when a region between two curves revolves around an axis: V = π∫[a to b] ([R(x)]² - [r(x)]²)dx.,Identify outer radius R(x) and inner radius r(x) from the axis; subtract their squares inside the integral.,2,1,Applications of Integration,6.2 Determining Volumes by Slicing
Revolution About Horizontal Axis,"Volume calculation when rotating about y = k, requiring vertical distances as radii.",Express radii as |curve - k| to measure vertical distance from the axis of rotation.,2,1,Applications of Integration,6.2 Determining Volumes by Slicing
Revolution About Vertical Axis,"Volume calculation when rotating about x = k, often requiring dy integration with functions x(y).","Rewrite curves as x in terms of y, then integrate with respect to dy using horizontal distances.",2,1,Applications of Integration,6.2 Determining Volumes by Slicing
Non-Circular Cross-Sections,"Computing volume when slices are squares, triangles, or other shapes with area formulas in terms of base dimensions.","Find the base dimension from the region boundaries, apply the shape's area formula, then integrate.",2,1,Applications of Integration,6.2 Determining Volumes by Slicing
Choosing Axis of Integration,Deciding whether to integrate with dx or dy based on slice orientation and problem setup.,"Slice perpendicular to your integration variable: vertical slices use dx, horizontal slices use dy.",1,1,Applications of Integration,6.2 Determining Volumes by Slicing
Cylindrical Shell Method,A technique for finding volumes of revolution by integrating the surface areas of nested cylindrical shells.,"Picture peeling an onion layer by layer—each shell has radius (distance from axis), height (function value), and thickness (dx or dy).",1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Shell Radius and Height,"The radius is the perpendicular distance from the rotation axis to the shell, and the height is the length of the shell parallel to the axis.","If rotating about the y-axis using dx, radius is x and height is f(x); sketch a single shell to see these dimensions.",1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Shell Volume Formula 2πrh,"The volume of a thin cylindrical shell is approximated by 2πrh·thickness, where r is radius and h is height.",Think of 'unrolling' the shell into a thin rectangular slab with dimensions 2πr (circumference) by h by thickness.,1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Shell Method Integration Setup,"The integral for shell method is ∫2π(radius)(height)dx or dy, where radius and height are functions of the integration variable.",Identify which variable is parallel to the axis of rotation—that determines whether you use dx or dy.,1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Choosing Between Shell and Washer,"Shell method is often simpler when slicing parallel to the rotation axis, while washer method slices perpendicular to it.","If washer method requires splitting into multiple integrals or solving for x, try shell method instead.",1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Revolution About Non-Coordinate Axes,"When rotating about lines like x=a or y=b, the shell radius becomes |variable - a| or |variable - b|.","The radius is always the perpendicular distance from the shell to the axis of rotation, not to the origin.",1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Shell Method for x-Axis Rotation,"For rotation about the x-axis using shells, integrate with respect to y, where radius is y and height is expressed as x(y).","When the axis of rotation is horizontal, your shells are horizontal rings, so use dy and express everything in terms of y.",1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Shell Method with Multiple Functions,"When a region is bounded by multiple curves, the shell height is the difference between the rightmost and leftmost (or top and bottom) boundaries.",Shell height works like 'top minus bottom' in area problems—it's the extent of the region at a given radius.,1,1,Applications of Integration,6.3 Volumes of Revolution: Cylindrical Shells
Arc Length Formula,"The arc length of a curve y=f(x) from x=a to x=b is given by L = ∫[a,b] √(1 + [f'(x)]²) dx.","Start by finding the derivative f'(x), then square it, add 1, take the square root, and integrate.",3,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Arc Length Differential Element,"The infinitesimal arc length element ds is given by ds = √(1 + (dy/dx)²) dx, representing a tiny segment of the curve.",Think of ds as the hypotenuse of a right triangle with legs dx and dy using the Pythagorean theorem.,2,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Arc Length for x as Function of y,"When x is expressed as a function of y, the arc length is L = ∫[c,d] √(1 + [dx/dy]²) dy.","If solving for x in terms of y is easier than y in terms of x, use this form with dx/dy instead.",3,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Surface Area of Revolution About x-axis,"The surface area when rotating y=f(x) about the x-axis from x=a to x=b is S = ∫[a,b] 2πf(x)√(1 + [f'(x)]²) dx.",The formula combines the circumference 2πr (where r=f(x)) with the arc length element.,4,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Surface Area of Revolution About y-axis,"The surface area when rotating x=g(y) about the y-axis from y=c to y=d is S = ∫[c,d] 2πg(y)√(1 + [g'(y)]²) dy.","Use radius r=g(y) for rotation about the y-axis, similar to the x-axis case but with roles switched.",4,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Simplifying Arc Length Integrands,"Techniques for simplifying √(1 + [f'(x)]²) include algebraic manipulation, trigonometric identities, and recognizing perfect squares.",Look for perfect square patterns under the radical that might simplify before integrating.,3,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Numerical Approximation of Arc Length,"When arc length integrals cannot be evaluated analytically, numerical methods like Simpson's rule or technology must be used.","If the integrand with the square root looks intractable, set up the integral correctly and use a calculator or computer.",2,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Surface Area Element dS,The differential surface area element dS = 2πr·ds where r is the distance from the axis of rotation and ds is the arc length element.,"Surface area combines revolution (2πr) with the stretched length of the curve (ds), not just dx or dy.",3,1,Applications of Integration,6.4 Arc Length of a Curve and Surface Area
Work Done by Variable Force,Work is the integral of force over displacement when force varies with position.,Set up the integral as W = ∫F(x)dx where F(x) is the force function and integrate over the displacement interval.,1,1,Applications of Integration,6.5 Physical Applications
Hooke's Law Spring Work,Work to compress or stretch a spring uses F(x) = kx where k is the spring constant.,Remember the natural length is where force is zero; integrate kx from initial to final displacement.,1,1,Applications of Integration,6.5 Physical Applications
Work Against Gravity,"Work to lift an object involves integrating weight times distance, accounting for variable mass or position.","If mass varies with height (like a rope or chain), express mass as a function of position before integrating.",1,1,Applications of Integration,6.5 Physical Applications
Pumping Liquid Work,Work to pump liquid from a tank integrates the weight of each slice times the distance it travels.,"Slice horizontally, find volume of each slice, multiply by weight density and lifting distance, then integrate.",2,1,Applications of Integration,6.5 Physical Applications
Hydrostatic Force on Submerged Surface,"Pressure increases with depth, so force on a submerged plate is the integral of pressure times area over depth.","Use pressure P = ρgh at depth h, slice the surface horizontally, and integrate ρgh·width(h)·dh.",2,1,Applications of Integration,6.5 Physical Applications
Mass from Variable Density,Total mass is the integral of density function over the region when density varies with position.,"Express density as ρ(x) and integrate over the length, area, or volume of the object.",1,1,Applications of Integration,6.5 Physical Applications
Center of Mass via Integration,The center of mass coordinates are found by integrating position times density and dividing by total mass.,"For a rod, use x̄ = (1/m)∫x·ρ(x)dx where m is total mass; set up separate integrals for numerator and denominator.",2,1,Applications of Integration,6.5 Physical Applications
Moment About an Axis,"Moment is the integral of distance from axis times the mass element, measuring rotational tendency.","Identify the axis, express perpendicular distance as a function, then integrate distance times dm.",2,1,Applications of Integration,6.5 Physical Applications
Point Mass Moment,The moment of a point mass is the product of mass and perpendicular distance from an axis.,Multiply the mass by its distance from the axis you're taking the moment about.,1,1,Applications of Integration,6.6 Moments and Centers of Mass
System of Point Masses Moment,The total moment of a system is the sum of individual moments of all point masses.,Add up all the individual mass×distance products for each point in your system.,1,1,Applications of Integration,6.6 Moments and Centers of Mass
Center of Mass of Point Masses,"The center of mass is located at x̄ = M_y/m and ȳ = M_x/m, where m is total mass and M are moments.",Divide the moment about each axis by the total mass to find the coordinate.,2,1,Applications of Integration,6.6 Moments and Centers of Mass
Moment of Lamina About x-axis,"For a thin plate (lamina), M_x = ∫∫ y·ρ(x,y) dA, where ρ is density per unit area.","The y-coordinate of each infinitesimal mass element gets multiplied by its mass, then integrated.",3,1,Applications of Integration,6.6 Moments and Centers of Mass
Moment of Lamina About y-axis,"For a thin plate, M_y = ∫∫ x·ρ(x,y) dA, measuring tendency to rotate about the y-axis.","The x-coordinate of each infinitesimal mass element gets multiplied by its mass, then integrated.",3,1,Applications of Integration,6.6 Moments and Centers of Mass
Centroid of Region,"The centroid is the center of mass when density is constant (uniform), depending only on geometry.","For uniform density, factor it out and the centroid depends only on area and first moments of area.",2,1,Applications of Integration,6.6 Moments and Centers of Mass
Centroid Using Vertical Strips,"With vertical strips, x̄ = (1/A)∫x·[f(x)-g(x)]dx and ȳ = (1/A)∫½[f(x)²-g(x)²]dx.","The midpoint of each strip is at y = ½[f(x)+g(x)], and its height provides the weight.",4,1,Applications of Integration,6.6 Moments and Centers of Mass
Pappus's Theorem for Volume,The volume of a solid of revolution equals the area of the region times the distance traveled by its centroid.,Calculate V = 2πr̄A where r̄ is the distance from centroid to axis of rotation and A is area.,3,1,Applications of Integration,6.6 Moments and Centers of Mass
Symmetry in Center of Mass,"If a region is symmetric about a line, its center of mass lies on that line of symmetry.","Before computing integrals, check for symmetry to reduce calculations by setting one coordinate immediately.",2,1,Applications of Integration,6.6 Moments and Centers of Mass
Exponential Growth Integral,Integrals of the form ∫e^(kx)dx equal (1/k)e^(kx) + C for constant k.,"Factor out the constant from the exponent, integrate e^u, then divide by the coefficient of x.",1,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
Natural Logarithm Integration,"The integral ∫(1/x)dx equals ln|x| + C, the fundamental logarithmic antiderivative.",Remember the absolute value in ln|x| to handle negative x values in the domain.,1,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
Logarithmic Integrands with Linear Denominators,Integrals of the form ∫1/(ax+b)dx equal (1/a)ln|ax+b| + C using substitution.,"Let u = ax+b, then du = a dx, and factor out 1/a before integrating 1/u.",2,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
Integration by u-substitution for Exponentials,Transforming exponential integrals using u-substitution when the exponent is a composite function.,"Identify the inner function as u, compute du, and verify all terms convert properly before integrating.",2,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
General Exponential Base Integration,The integral ∫a^x dx equals a^x/ln(a) + C for any positive base a ≠ 1.,"Rewrite a^x as e^(x ln a) first, then use the exponential rule with k = ln(a).",2,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
Logarithmic Function as Integrand,Computing ∫ln(x)dx requires integration by parts with u = ln(x) and dv = dx.,"Set u = ln(x) so du = (1/x)dx, and let dv = dx so v = x, then apply the integration by parts formula.",3,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
Area Under Exponential Curves,"Finding areas bounded by exponential functions y = e^(kx) over an interval [a,b].",Set up the definite integral with exponential growth formula and evaluate at the bounds.,2,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
Volume with Logarithmic Cross-Sections,Applying volume methods when the radius or height function involves logarithms.,"Express the volume element using ln(x) in the appropriate formula, then integrate carefully with proper bounds.",3,1,Applications of Integration,"6.7 Integrals, Exponential Functions, and Logarithms"
Exponential Growth Model,"A model where the rate of change of a quantity is proportional to its current value, expressed as dy/dt = ky where k > 0.",Set up the differential equation by recognizing that 'rate proportional to amount' means dy/dt equals k times y.,1,1,Applications of Integration,6.8 Exponential Growth and Decay
Exponential Decay Model,"A model where the rate of change of a quantity is negatively proportional to its current value, expressed as dy/dt = -ky where k > 0.",Use negative k for decay; the solution will have e raised to a negative exponent causing the function to decrease.,1,1,Applications of Integration,6.8 Exponential Growth and Decay
Separating Variables for Exponential Equations,The technique of rewriting dy/dt = ky as dy/y = k dt to solve the differential equation by integration.,"Move all y terms to one side with dy and all t terms to the other side with dt, then integrate both sides.",2,1,Applications of Integration,6.8 Exponential Growth and Decay
General Solution y = Ce^(kt),"The general solution to dy/dt = ky, where C is determined by initial conditions and represents y(0).","After separating and integrating, exponentiate both sides to solve for y; use y(0) to find C.",2,1,Applications of Integration,6.8 Exponential Growth and Decay
Half-Life in Decay Problems,"The time required for a decaying quantity to reduce to half its initial value, related to decay constant by t_half = ln(2)/k.",Set y(t_half) equal to half the initial amount and solve for k using the exponential decay formula.,3,1,Applications of Integration,6.8 Exponential Growth and Decay
Doubling Time in Growth Problems,"The time required for a growing quantity to double its initial value, related to growth constant by t_double = ln(2)/k.",Set y(t_double) equal to twice the initial amount and solve for k using the exponential growth formula.,3,1,Applications of Integration,6.8 Exponential Growth and Decay
Initial Value Problems for Exponential Models,Problems requiring determination of the constant C in y = Ce^(kt) using a condition y(t_0) = y_0.,Substitute the given initial time and value into y = Ce^(kt) and solve for C before finding other unknowns.,2,1,Applications of Integration,6.8 Exponential Growth and Decay
Newton's Law of Cooling,A model stating that the rate of temperature change is proportional to the difference between object temperature and ambient temperature: dT/dt = -k(T - T_ambient).,Let u = T - T_ambient to transform this into a standard exponential decay equation for u.,3,1,Applications of Integration,6.8 Exponential Growth and Decay
Hyperbolic Sine and Cosine Definitions,sinh(x) = (e^x - e^(-x))/2 and cosh(x) = (e^x + e^(-x))/2 define the basic hyperbolic functions.,"Write sinh and cosh in terms of exponentials first, then use exponential differentiation rules.",1,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
Derivatives of Hyperbolic Functions,d/dx[sinh(x)] = cosh(x) and d/dx[cosh(x)] = sinh(x) are the fundamental derivative formulas.,Notice the pattern mirrors trig derivatives but without sign changes for cosh.,2,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
Hyperbolic Tangent and Other Functions,"tanh(x) = sinh(x)/cosh(x), and similarly sech, csch, coth complete the hyperbolic function family.",Use quotient rule to find derivatives after expressing in terms of sinh and cosh.,2,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
Hyperbolic Identity cosh²x - sinh²x = 1,"The fundamental hyperbolic identity relating cosh and sinh, analogous to cos²x + sin²x = 1.",Derive this by squaring the exponential definitions and simplifying.,2,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
Integrals of Hyperbolic Functions,∫sinh(x)dx = cosh(x) + C and ∫cosh(x)dx = sinh(x) + C are the basic antiderivatives.,These are just the reverse of the derivative formulas you already know.,2,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
Inverse Hyperbolic Functions,"sinh⁻¹(x), cosh⁻¹(x), and tanh⁻¹(x) are defined as inverses of hyperbolic functions with appropriate domains.",Express inverse hyperbolic functions as natural logarithms using the exponential definitions.,3,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
Derivatives of Inverse Hyperbolic Functions,d/dx[sinh⁻¹(x)] = 1/√(x²+1) and similar formulas involve algebraic expressions with radicals.,"Use implicit differentiation on y = sinh(x) where x = sinh⁻¹(y), then swap variables.",3,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
Catenary Curve Application,The curve y = a·cosh(x/a) describes a hanging chain or cable under its own weight.,The catenary minimizes potential energy and naturally involves cosh due to the shape's differential equation.,3,1,Applications of Integration,6.9 Calculus of the Hyperbolic Functions
